st_id,source_table,n_data_rows,file
ST27,r5_il4_locus_coloc_IL4_DICE_TREG_NAIVE_ALLERG_RHINITIS_persnp,42,ST27_r5_il4_locus_coloc_IL4_DICE_TREG_NAIVE_ALLERG_RHINITIS_persnp.csv
ST28,r5_il4_locus_coloc_IL4_DICE_TREG_NAIVE_L12_ATOPIC_persnp,42,ST28_r5_il4_locus_coloc_IL4_DICE_TREG_NAIVE_L12_ATOPIC_persnp.csv
ST29,r5_il4_locus_coloc_IL13_DICE_TH1_ALLERG_ASTHMA_persnp,6,ST29_r5_il4_locus_coloc_IL13_DICE_TH1_ALLERG_ASTHMA_persnp.csv
ST30,r5_il4_locus_coloc_IL13_DICE_TH1_ALLERG_RHINITIS_persnp,6,ST30_r5_il4_locus_coloc_IL13_DICE_TH1_ALLERG_RHINITIS_persnp.csv
ST31,r5_il4_locus_coloc_IL13_DICE_TH1_L12_ATOPIC_persnp,6,ST31_r5_il4_locus_coloc_IL13_DICE_TH1_L12_ATOPIC_persnp.csv
ST32,r5_il4_il13_direction,6,ST32_r5_il4_il13_direction.csv
ST33,r5_il4_celltype_eqtl,30,ST33_r5_il4_celltype_eqtl.csv
ST34,r5_celltype_mr_matrix,304,ST34_r5_celltype_mr_matrix.csv
ST35,r5_celltype_replication,33,ST35_r5_celltype_replication.csv
ST36,r5_ewas_convergence,4716,ST36_r5_ewas_convergence.csv
ST37,r5_ewas_overlap_enrichment,4,ST37_r5_ewas_overlap_enrichment.csv
ST38,r5_ewas_overlap_genes,4957,ST38_r5_ewas_overlap_genes.csv
ST39,r5_ewas_study_classification,7639,ST39_r5_ewas_study_classification.csv
ST40,r5_gene_coords_extended,38,ST40_r5_gene_coords_extended.csv
ST41,r5_pqtl_instruments,93,ST41_r5_pqtl_instruments.csv
ST42,r5_pqtl_instrument_qc,47,ST42_r5_pqtl_instrument_qc.csv
ST43,r5_pqtl_mr_results,235,ST43_r5_pqtl_mr_results.csv
ST44,r5_pqtl_drug_target_mr,4,ST44_r5_pqtl_drug_target_mr.csv
ST45,r5_pqtl_coloc,4,ST45_r5_pqtl_coloc.csv
ST46,r5_pqtl_coloc_IL18_L12_ATOPIC_persnp,1171,ST46_r5_pqtl_coloc_IL18_L12_ATOPIC_persnp.csv
ST47,r5_pqtl_coloc_TNFSF14_L12_ATOPIC_persnp,2512,ST47_r5_pqtl_coloc_TNFSF14_L12_ATOPIC_persnp.csv
ST48,r5_pqtl_coloc_TNF_L12_ATOPIC_persnp,9300,ST48_r5_pqtl_coloc_TNF_L12_ATOPIC_persnp.csv
ST49,r5_pqtl_coloc_TRAIL_L12_ATOPIC_persnp,1020,ST49_r5_pqtl_coloc_TRAIL_L12_ATOPIC_persnp.csv
ST50,r5_pqtl_drug_map,21,ST50_r5_pqtl_drug_map.csv
ST51,r5_pqtl_build_check,47,ST51_r5_pqtl_build_check.csv
ST52,r5_pharmacovigilance_summary,87,ST52_r5_pharmacovigilance_summary.csv
ST53,r5_canada_vigilance_ror,253,ST53_r5_canada_vigilance_ror.csv
ST54,r5_two_database_concordance,21,ST54_r5_two_database_concordance.csv
ST55,r5_target_vs_ae_direction,29,ST55_r5_target_vs_ae_direction.csv
ST56,r5_trial_ae_summary,23,ST56_r5_trial_ae_summary.csv
