analysis,group,predictor,model,beta,se,p,n,n_events,effect,ci_lower,ci_upper,effect_scale,weight,note
age_interaction_pooled,all,cycle_D,weighted,1.3410892924628426,0.08569697217320915,3.364074831000522e-55,14878,,3.8232058272533593,3.2320713838537376,4.52245667300692,or,WTMEC4YR,
age_stratified,<40,I_z,unweighted,0.26542974703906597,0.026662827830418696,2.3970571256548433e-23,8803,1832.0,1.3039912417585369,1.2375957726313649,1.3739487449667112,or,none,scheme=broad
age_stratified,<40,I_z,weighted,0.2887974690819786,0.0383200041649776,4.828729439037965e-14,8803,1832.0,1.3348213585551505,1.2382390643597243,1.438937044177599,or,WTMEC4YR,scheme=broad
age_stratified,40-60,I_z,unweighted,0.2306815184810907,0.05084422910800526,5.7053452347809845e-06,2882,831.0,1.2594580614523196,1.1399983664073863,1.3914358610496316,or,none,scheme=broad
age_stratified,40-60,I_z,weighted,0.2638979717297044,0.08115806632129889,0.0011473549733204461,2882,831.0,1.301995349190518,1.1105197641748197,1.5264851144485168,or,WTMEC4YR,scheme=broad
age_stratified,>60,I_z,unweighted,0.22949562075840363,0.048366669065304596,2.085963117350597e-06,3193,796.0,1.2579653582770105,1.1441899843327474,1.383054269215487,or,none,scheme=broad
age_stratified,>60,I_z,weighted,0.2581627772806819,0.08087752558288006,0.0014128095656578484,3193,796.0,1.2945495247260324,1.1047762515023918,1.5169211590938765,or,WTMEC4YR,scheme=broad
age_stratified,0-10,I_z,unweighted,0.2432469466570091,0.051357746655861305,2.1762917754229834e-06,2138,294.0,1.275383536934376,1.1532519833099988,1.4104490517455295,or,none,scheme=decade
age_stratified,0-10,I_z,weighted,0.25256872559673244,0.0928775918611388,0.006540599785772423,2138,294.0,1.2873279654973253,1.0730753078216557,1.544358796323091,or,WTMEC4YR,scheme=decade
age_stratified,10-20,I_z,unweighted,0.3026149806979467,0.041201465951887874,2.0612482978007571e-13,3539,747.0,1.3533932815793184,1.2483967242248684,1.4672205870784587,or,none,scheme=decade
age_stratified,10-20,I_z,weighted,0.318225027294221,0.06654852389325816,1.7368967941396356e-06,3539,747.0,1.374685568198817,1.206580010952965,1.566212264631799,or,WTMEC4YR,scheme=decade
age_stratified,20-30,I_z,unweighted,0.12246030996817686,0.06533193328118744,0.06087081444373359,1629,418.0,1.1302742585624483,0.9944253172716396,1.2846815918504233,or,none,scheme=decade
age_stratified,20-30,I_z,weighted,0.1827314739928698,0.07196348314535224,0.011109835484511072,1629,418.0,1.2004920014717415,1.0425639826248507,1.3823430212591687,or,WTMEC4YR,scheme=decade
age_stratified,30-40,I_z,unweighted,0.290635574379615,0.07998614603174183,0.00027952231425847876,1497,373.0,1.3372771570824138,1.1432358747777818,1.5642530420085254,or,none,scheme=decade
age_stratified,30-40,I_z,weighted,0.3677834602731392,0.11982807181229888,0.0021459003025101875,1497,373.0,1.4445292071448845,1.1421591239889783,1.826947389788364,or,WTMEC4YR,scheme=decade
age_stratified,40-50,I_z,unweighted,0.20880938061884083,0.0781293360519891,0.007526330444975524,1469,428.0,1.2322100930168054,1.0572549527906583,1.4361169075867393,or,none,scheme=decade
age_stratified,40-50,I_z,weighted,0.24387184150760585,0.10520027332245606,0.020440226353726883,1469,428.0,1.2761807666055576,1.0383981712005055,1.5684131523181133,or,WTMEC4YR,scheme=decade
age_stratified,50-60,I_z,unweighted,0.2405996860945195,0.06705402154963812,0.00033303651521945655,1413,403.0,1.2720117293907007,1.1153561867036392,1.4506700720327315,or,none,scheme=decade
age_stratified,50-60,I_z,weighted,0.28394925583216846,0.12216372156331048,0.020107615574724572,1413,403.0,1.3283655222395125,1.045513718808045,1.687739652700457,or,WTMEC4YR,scheme=decade
age_stratified,60-70,I_z,unweighted,0.2728069519029163,0.06543280905928134,3.0557877946016944e-05,1598,452.0,1.3136466233640758,1.15552946032692,1.4933997879964187,or,none,scheme=decade
age_stratified,60-70,I_z,weighted,0.32774530407322605,0.12815245876673356,0.010543846090474662,1598,452.0,1.387835451234675,1.0795739633078898,1.7841179068473356,or,WTMEC4YR,scheme=decade
age_stratified,70+,I_z,unweighted,0.1787839388358445,0.07240679571633621,0.01354307791094798,1595,344.0,1.1957623584481094,1.037554621776,1.3780938254931485,or,none,scheme=decade
age_stratified,70+,I_z,weighted,0.18206226193618286,0.09849340426065016,0.06453414712839214,1595,344.0,1.1996888865074813,0.9890753023049488,1.4551505037639836,or,WTMEC4YR,scheme=decade
